month,file,encoding,rows,data_month_main,data_days,rows_off_month,mb_out,sec,f_ctrl_rent,f_ctrl_ret,f_cancel,f_dur_out,f_dist_out,f_time_bad,f_dup,f_ctrl_rent_pct,f_ctrl_ret_pct,f_cancel_pct,f_dur_out_pct,f_dist_out_pct,f_time_bad_pct,f_dup_pct
202408,대전시 공영자전거 타슈 대여이력 정보(24년08월).csv,cp949,512885,202408,31,0,8.5,4.2,9072,9632,22313,0,5,0,0,1.77,1.88,4.35,0.0,0.0,0.0,0.0
202409,대전시 공영자전거 타슈 대여이력 정보(24년09월).csv,utf-8-sig,518058,202409,30,0,8.6,4.0,9439,10131,20393,0,14,0,0,1.82,1.96,3.94,0.0,0.0,0.0,0.0
202410,대전시 공영자전거 타슈 대여이력 정보(24년10월).csv,utf-8-sig,513780,202410,31,0,8.5,4.0,14938,16115,19764,1,17,0,0,2.91,3.14,3.85,0.0,0.0,0.0,0.0
202411,대전시 공영자전거 타슈 대여이력 정보(24년11월).csv,utf-8-sig,418703,202411,30,0,7.1,3.2,16849,18110,15002,0,8,0,0,4.02,4.33,3.58,0.0,0.0,0.0,0.0
202412,대전시 공영자전거 타슈 대여이력 정보(24년12월).csv,utf-8-sig,272734,202412,31,0,4.9,2.0,10540,11554,10293,0,5,0,0,3.86,4.24,3.77,0.0,0.0,0.0,0.0
202501,대전시 공영자전거 타슈 대여이력 정보(25년01월).csv,cp949,203545,202501,31,0,3.8,1.7,6135,6707,7186,0,3,0,0,3.01,3.3,3.53,0.0,0.0,0.0,0.0
202502,대전시 공영자전거 타슈 대여이력 정보(25년02월)_시스템 장애로 26일~28일 데이터 없음.csv,cp949,177206,202502,26,0,3.4,1.4,5535,6139,6191,0,4,0,0,3.12,3.46,3.49,0.0,0.0,0.0,0.0
202503,대전시 공영자전거 타슈 대여이력 정보(25년03월)_시스템 장애로 01일~03일 데이터 없음.csv,cp949,366879,202503,28,0,3.5,2.8,11472,12085,14041,1,4,0,2,3.13,3.29,3.83,0.0,0.0,0.0,0.0
202504,대전시 공영자전거 타슈 대여이력 정보(25년04월).csv,utf-8-sig,537111,202504,30,0,8.7,4.3,16679,17612,20756,1,2,0,0,3.11,3.28,3.86,0.0,0.0,0.0,0.0
202505,대전시 공영자전거 타슈 대여이력 정보(25년05월).csv,utf-8-sig,614735,202505,31,0,9.9,4.7,16842,17761,22907,0,12,0,0,2.74,2.89,3.73,0.0,0.0,0.0,0.0
202506,대전시 공영자전거 타슈 대여이력 정보(25년06월).csv,utf-8-sig,634451,202506,30,0,10.2,4.9,17761,18724,26464,1,26,0,0,2.8,2.95,4.17,0.0,0.0,0.0,0.0
202507,대전시 공영자전거 타슈 대여이력 정보(25년07월).csv,utf-8-sig,571347,202507,31,0,9.3,4.4,16638,17755,22687,0,9,0,0,2.91,3.11,3.97,0.0,0.0,0.0,0.0
202508,대전시 공영자전거 타슈 대여이력 정보(25년08월).csv,utf-8-sig,607705,202508,31,0,9.8,4.6,17591,18624,20002,0,7,0,0,2.89,3.06,3.29,0.0,0.0,0.0,0.0
202509,대전시 공영자전거 타슈 대여이력 정보(25년09월).csv,cp949,636357,202509,30,0,10.1,5.2,17858,18830,22337,0,9,0,0,2.81,2.96,3.51,0.0,0.0,0.0,0.0
202510,대전시 공영자전거 타슈 대여이력 정보(25년10월).csv,utf-8-sig,608467,202510,31,0,9.9,4.7,17200,18298,20164,0,8,0,0,2.83,3.01,3.31,0.0,0.0,0.0,0.0
202511,대전시 공영자전거 타슈 대여이력 정보(25년11월).csv,utf-8-sig,602748,202511,30,0,9.7,4.7,21098,22272,17953,2,5,0,0,3.5,3.7,2.98,0.0,0.0,0.0,0.0
202512,대전시 공영자전거 타슈 대여이력 정보(25년12월).csv,cp949,203545,202501,31,203545,3.8,1.7,6135,6707,7186,0,3,0,0,3.01,3.3,3.53,0.0,0.0,0.0,0.0
202601,대전시 공영자전거 타슈 대여이력 정보(26년01월).csv,cp949,309115,202601,31,0,5.4,2.5,10041,11202,7648,1,1,0,0,3.25,3.62,2.47,0.0,0.0,0.0,0.0
202602,대전시 공영자전거 타슈 대여이력 정보(26년02월).csv,cp949,362319,202602,28,0,6.1,3.9,10087,11045,9927,1,6,0,0,2.78,3.05,2.74,0.0,0.0,0.0,0.0
202603,대전시 공영자전거 타슈 대여이력 정보(26년03월).csv,cp949,648328,202603,31,0,10.2,7.5,17743,18913,18156,0,6,0,0,2.74,2.92,2.8,0.0,0.0,0.0,0.0
