decile,actual,expected,ratio,n,mean_dev
1,216869.0,264077.1514648003,0.8212334872481657,74943,-4.998231723178641
2,210006.0,255995.29669133836,0.8203510092344036,74894,-2.9591778137727345
3,203075.0,245127.6388928616,0.8284459513305162,74855,-2.1063050455609935
4,205901.0,237359.69193714176,0.8674640513711455,74824,-1.4255429446649246
5,211085.0,233898.13395814644,0.9024655153416974,74801,-0.7699731142216064
6,227436.0,234405.89412007947,0.9702657045112143,74769,-0.06687144643689491
7,252869.0,240752.00072771005,1.050329796785341,74737,0.8230024625708006
8,281991.0,247905.72137390784,1.1374929083410805,74709,2.027125603721758
9,317735.0,260867.69729445886,1.2179928879479134,74684,3.829508625438934
10,400062.0,294088.6684377871,1.3603448311189554,74662,8.408131292356416
