station_id,first_seen,last_seen,active_days,rent_events,ret_events,name,lat,lon,gu,dong,addr,span_days,activity_ratio,total_events,in_current_list,station_type
ST1220,2024-08-01,2026-04-01,609,262714,281125,타슈관제센터,36.402205,127.309734,유성구,외삼동,대전광역시 유성구 외삼동 421,609,1.0,543839,True,CONTROL
ST1027,2024-08-01,2026-03-31,587,63136,62545,만년동 한밭수목원(동원),36.369245,127.388462,서구,만년동,대전광역시 서구 만년동 396,608,0.9655,125681,True,ACTIVE
ST0763,2024-08-01,2026-04-01,584,61878,62080,어은동 한빛아파트(126동 건너편),36.363151,127.352945,유성구,궁동,대전광역시 유성구 궁동 1-34,609,0.9589,123958,True,ACTIVE
ST0373,2024-08-01,2026-04-01,585,59948,60158,구성동 카이스트 서쪽 쪽문,36.364171,127.358968,유성구,구성동,대전광역시 유성구 구성동 23,609,0.9606,120106,True,ACTIVE
ST1016,2024-08-01,2026-04-01,577,56495,56633,궁동 충남대학교 학생회관,36.366454,127.345568,유성구,궁동,대전광역시 유성구 궁동 220,609,0.9475,113128,True,ACTIVE
ST0412,2024-08-01,2026-03-31,577,55220,55205,도룡동 무역전시관입구(미래에너지움 앞),36.374363,127.387482,유성구,도룡동,대전광역시 유성구 도룡동 3-1,608,0.949,110425,True,ACTIVE
ST1039,2024-08-01,2026-04-01,581,48902,48935,둔산동 타임월드,36.352923,127.379151,서구,둔산동,대전광역시 서구 둔산동 1033,609,0.954,97837,True,ACTIVE
ST0426,2024-08-01,2026-04-01,584,48514,48580,둔산동 샘머리아파트(209동),36.36104,127.390447,서구,둔산동,대전광역시 서구 둔산동 1518,609,0.9589,97094,True,ACTIVE
ST0191,2024-08-01,2026-04-01,577,46574,46572,어은동 유성구청,36.361701,127.357402,유성구,어은동,대전광역시 유성구 어은동 59-12,609,0.9475,93146,True,ACTIVE
ST0406,2024-08-01,2026-03-31,579,42973,42857,봉명동 홈플러스 유성점,36.359421,127.354083,유성구,봉명동,대전광역시 유성구 봉명동 669,608,0.9523,85830,True,ACTIVE
ST0192,2024-08-01,2026-03-31,577,41993,42055,궁동 다솔아파트 입구,36.361324,127.34789,유성구,궁동,대전광역시 유성구 궁동 418-2,608,0.949,84048,True,ACTIVE
ST0446,2024-08-01,2026-03-31,573,41850,41873,월평동 미래빌딩,36.360274,127.376789,서구,월평동,대전광역시 서구 월평동 271,608,0.9424,83723,True,ACTIVE
ST0407,2024-08-01,2026-04-01,576,41211,41253,둔산동 하이마트,36.35547,127.379202,서구,둔산동,대전광역시 서구 둔산동 962,609,0.9458,82464,True,ACTIVE
ST0764,2024-08-01,2026-04-01,585,41148,41289,어은동 어은치안센터 입구,36.360821,127.354303,유성구,어은동,대전광역시 유성구 어은동 106-3,609,0.9606,82437,True,ACTIVE
ST1026,2024-08-01,2026-03-31,574,40740,40463,만년동 한밭수목원(서원),36.369195,127.387595,서구,만년동,대전광역시 서구 만년동 396,608,0.9441,81203,True,ACTIVE
ST0375,2024-08-01,2026-03-31,579,39898,40318,구성동 카이스트 창의학습관,36.370596,127.362976,유성구,구성동,대전광역시 유성구 구성동 23,608,0.9523,80216,True,ACTIVE
ST1023,2024-08-01,2026-03-31,580,39392,39457,봉명동 매드블럭,36.358699,127.343662,유성구,봉명동,대전광역시 유성구 봉명동 608,608,0.9539,78849,True,ACTIVE
ST0415,2024-08-01,2026-04-01,579,38790,38842,월평동 선사유적지공용주차장,36.361898,127.379217,서구,월평동,대전광역시 서구 월평동 243,609,0.9507,77632,True,ACTIVE
