station_id,first_seen,last_seen,active_days,rent_events,ret_events,span_days,activity_ratio,total_events,name,lat,lon,gu,dong,addr
ST0000,2026-01-28,2026-01-28,1,1,1,1,1.0,2,두드림,36.373217,127.316743,유성구,지족동,대전광역시 유성구 지족동 893-3
ST0001,2024-08-01,2026-03-31,379,825,394,608,0.6234,1219,타슈관제센터 정비대기,36.406607,127.306457,유성구,외삼동,대전광역시 유성구 외삼동 421
ST0003,2024-08-01,2026-04-01,573,15048,15079,609,0.9409,30127,탄방동 한사랑병원,36.348446,127.390052,서구,탄방동,대전광역시 서구 탄방동 730
ST0004,2024-08-01,2026-03-31,566,6421,6425,608,0.9309,12846,탄방동_한가람아파트(2동),36.348201,127.390409,서구,탄방동,대전광역시 서구 탄방동 1446
ST0005,2024-08-01,2026-03-31,571,19000,18934,608,0.9391,37934,둔산동 목련아파트(103동),36.350037,127.390402,서구,둔산동,대전광역시 서구 둔산동 1510
ST0006,2024-08-01,2026-04-01,567,8019,8047,609,0.931,16066,둔산동 크로바아파트(103동),36.35248,127.390385,서구,둔산동,대전광역시 서구 둔산동 1506
ST0007,2024-08-01,2026-04-01,570,12641,12651,609,0.936,25292,둔산동 한마루아파트 5동,36.354587,127.390468,서구,둔산동,대전광역시 서구 둔산동 1388
ST0008,2024-08-01,2026-03-31,572,32719,32732,608,0.9408,65451,둔산동 농협 둔산중앙지점,36.358919,127.390044,서구,둔산동,대전광역시 서구 둔산동 926
ST0010,2024-08-01,2026-03-31,566,7637,7587,608,0.9309,15224,둔산동 샤크존,36.348853,127.386433,서구,둔산동,대전광역시 서구 둔산동 1546-1
ST0011,2024-08-01,2026-03-31,572,14943,14887,608,0.9408,29830,탄방동 공무원연금공단 대전지부,36.347026,127.386925,서구,탄방동,대전광역시 서구 탄방동 700
ST0012,2024-08-01,2026-03-31,572,18270,18278,608,0.9408,36548,둔산동 시청역 8번출구,36.350583,127.386942,서구,둔산동,대전광역시 서구 둔산동 1416
ST0013,2024-08-01,2026-04-01,573,19178,19195,609,0.9409,38373,둔산동 세이브존,36.351954,127.395413,서구,둔산동,대전광역시 서구 둔산동 1809
ST0014,2024-08-01,2026-03-31,572,25733,25810,608,0.9408,51543,둔산동 가람아파트 상가,36.355878,127.398305,서구,둔산동,대전광역시 서구 둔산동 1805
ST0015,2024-08-01,2026-03-31,572,9760,9625,608,0.9408,19385,둔산동 수정타운아파트(1동),36.358282,127.395424,서구,둔산동,대전광역시 서구 둔산동 1524-1
ST0016,2024-08-01,2026-03-31,558,3127,3132,608,0.9178,6259,둔산동 문정어린이공원,36.349982,127.399127,서구,둔산동,대전광역시 서구 둔산동 24
ST0017,2024-08-01,2026-03-31,573,15148,15149,608,0.9424,30297,월평동 한아름아파트(108동),36.363321,127.374482,서구,월평동,대전광역시 서구 월평3동 1509
ST0018,2024-08-01,2026-03-31,571,5785,5799,608,0.9391,11584,월평동 다모아아파트 육교밑(111동),36.363085,127.366753,서구,월평동,대전광역시 서구 월평동 311
ST0019,2024-08-01,2026-03-31,571,12197,12207,608,0.9391,24404,월평동 은평공원 테니스장 입구,36.35867,127.363647,서구,월평동,대전광역시 서구 월평동 312
ST0020,2024-08-01,2026-04-01,573,19287,19339,609,0.9409,38626,만년동 기업은행,36.368581,127.379974,서구,만년동,대전광역시 서구 만년동 296
ST0021,2024-08-01,2026-03-31,525,2980,2955,608,0.8635,5935,둔산동 선사유적지 건너편(정부청사),36.361063,127.379685,서구,둔산동,대전광역시 서구 둔산동 1516
ST0022,2024-08-01,2026-04-01,572,9820,9825,609,0.9392,19645,봉명동 유성한가족 요양병원 소공원,36.355079,127.350214,유성구,봉명동,대전광역시 유성구 봉명동 695
ST0023,2024-08-04,2026-03-31,393,996,932,605,0.6496,1928,덕명동 한밭대학교 남문,36.347541,127.301356,유성구,덕명동,대전광역시 유성구 덕명동 601-1
ST0024,2024-08-01,2026-03-31,496,2079,1906,608,0.8158,3985,덕명동 화산어린이공원,36.349122,127.29873,유성구,덕명동,대전광역시 유성구 덕명동 598
ST0025,2024-08-01,2026-04-01,573,29804,29861,609,0.9409,59665,둔산동 큰마을네거리,36.348711,127.377134,서구,둔산동,대전광역시 서구 둔산동 1535
ST0026,2024-08-01,2026-03-31,294,628,614,608,0.4836,1242,미호동 넷제로 공판장,36.466409,127.468306,대덕구,미호동,대전광역시 대덕구 미호동 262-4
ST0027,2024-08-01,2026-03-31,455,885,874,608,0.7484,1759,신탄진동 과선교 버스정류장,36.442446,127.429604,대덕구,신탄진동,대전광역시 대덕구 신탄진동 295-191
ST0029,2024-08-01,2026-03-31,532,1579,1570,608,0.875,3149,오정동 한일방전,36.352175,127.413985,대덕구,오정동,대전광역시 대덕구 오정동 382-6
ST0030,2024-08-01,2026-03-31,572,6768,6882,608,0.9408,13650,삼성동 동구 보건지소,36.342621,127.420428,동구,삼성동,대전광역시 동구 삼성동 353-14
ST0031,2024-08-02,2025-07-28,250,428,429,361,0.6925,857,도룡동 우성아파트,36.388274,127.38156,유성구,도룡동,도룡동 383-3
ST0032,2024-08-01,2026-03-31,566,4470,4300,608,0.9309,8770,관저동 관저더샵(109동),36.293563,127.32834,서구,관저동,대전광역시 서구 관저동 1985
ST0033,2024-08-01,2026-03-31,381,559,561,608,0.6266,1120,사정동 송원칼국수,36.295835,127.389396,중구,사정동,대전광역시 중구 사정동 425-5
ST0034,2024-08-01,2026-03-31,552,4315,4301,608,0.9079,8616,안영동 농협하나로마트,36.288285,127.379374,중구,안영동,대전광역시 중구 안영동 703
ST0035,2025-03-05,2025-03-05,1,1,0,1,1.0,1,문화동 다이소,36.315527,127.408232,중구,문화동,문화동 284-31
ST0036,2024-08-01,2026-03-31,569,10435,10418,608,0.9359,20853,문화동 홈플러스,36.320762,127.407117,중구,문화동,대전광역시 중구 문화동 1-17
ST0037,2024-08-01,2026-03-31,545,3020,2990,608,0.8964,6010,문화동 서대전 KT,36.321226,127.413759,중구,문화동,대전광역시 중구 문화동 1-30
