station_id,rentals,returns_n,rentals_real,net_out,reloc_in,reloc_out,ctrl_events,wd_rent,wd_peak,we_rent,name,gu,dong,lat,lon,total_events,net_out_per_day,CPI,WR,ctrl_pct,reloc_net_in,unmet,monthly_rentals,use_type
ST0051,11697.0,10117.0,11363.0,1580.0,1216.0,56.0,614.0,8655.0,3632.0,2708.0,목동 한사랑아파트 109동,중구,목동,36.333186,127.412241,21814,2.762,0.4196,0.7784,2.81,1160.0,420.0,604.7,출퇴근형
ST0400,3505.0,2236.0,3421.0,1269.0,884.0,8.0,125.0,2815.0,840.0,606.0,장동 대덕대학교,대덕구,장동,36.390204,127.362603,5741,2.219,0.2984,0.5356,2.18,876.0,393.0,182.1,혼합/생활형
ST0181,3084.0,2057.0,3029.0,1027.0,525.0,7.0,104.0,2364.0,1079.0,665.0,하기동 송림마을 5단지(오시오칼국수),유성구,하기동,36.390972,127.329523,5141,1.795,0.4564,0.6998,2.02,518.0,509.0,161.2,출퇴근형
ST0168,5436.0,4415.0,5302.0,1021.0,533.0,20.0,256.0,4101.0,1482.0,1201.0,지족동 노은3동 행정복지센터(201),유성구,지족동,36.386797,127.308308,9851,1.785,0.3614,0.7286,2.6,513.0,508.0,282.2,혼합/생활형
ST0284,4168.0,3152.0,4010.0,1016.0,700.0,8.0,159.0,2820.0,801.0,1190.0,관저동 원앙네거리(관저 지하차도 방면),서구,관저동,36.306209,127.335211,7320,1.776,0.284,1.0498,2.17,692.0,324.0,213.4,혼합/생활형
ST0413,21334.0,20497.0,20499.0,837.0,671.0,67.0,971.0,12658.0,4640.0,7841.0,도룡동 대전컨벤션센터,유성구,도룡동,36.374451,127.392019,41831,1.463,0.3666,1.5411,2.32,604.0,233.0,1090.9,혼합/생활형
ST0257,2490.0,1723.0,2363.0,767.0,546.0,25.0,105.0,1719.0,513.0,644.0,관저동 미즈모아산부인과,서구,관저동,36.298865,127.339432,4213,1.341,0.2984,0.932,2.49,521.0,246.0,125.8,혼합/생활형
ST0697,2058.0,1429.0,1972.0,629.0,444.0,13.0,87.0,1437.0,488.0,535.0,계산동 학하네거리 학의뜰 방향 정류장,유성구,계산동,36.340988,127.304846,3489,1.1,0.3396,0.9262,2.49,431.0,198.0,104.9,혼합/생활형
ST1027,63136.0,62545.0,60132.0,591.0,635.0,283.0,2604.0,31975.0,9029.0,28157.0,만년동 한밭수목원(동원),서구,만년동,36.369245,127.388462,125681,1.033,0.2824,2.1907,2.07,352.0,239.0,3200.0,여가형
ST0216,4639.0,4059.0,4524.0,580.0,426.0,22.0,183.0,3304.0,1175.0,1220.0,상대동 도안 9단지 트리풀시티(920동),유성구,상대동,36.342818,127.337782,8698,1.014,0.3556,0.9186,2.1,404.0,176.0,240.8,혼합/생활형
