station_id,demand_hours,zero_hours,expected_zero_hours,long_run_hours,longest_run,excess_zero_rate,zero_ratio,naive_rate,name,gu,net_out_per_day,rentals,first_seen,last_seen,rankable
ST1385,64,32,8.03543658714071,0,1,37.44,3.98,50.0,부사동 충무로네거리(맥도날드),중구,-0.003,7836.0,2024-12-03,2026-03-31,False
ST1306,566,250,92.49435183479198,0,2,27.83,2.7,44.17,용두동 하늘채엘센트로,중구,0.012,12020.0,2024-08-07,2026-03-31,True
ST1348,64,30,12.224083843489847,0,1,27.77,2.45,46.88,도룡동 스마트시티5단지,유성구,-0.15,8955.0,2024-12-02,2026-04-01,False
ST0553,737,282,78.7058080738463,0,2,27.58,3.58,38.26,부사동 우체국,중구,-0.082,13378.0,2024-08-01,2026-03-31,True
ST1372,65,25,7.778245261336625,0,1,26.5,3.21,38.46,문화동 계룡문화아파트,중구,-0.023,4626.0,2024-11-25,2026-03-31,False
ST1384,64,29,13.50602166823809,0,1,24.21,2.15,45.31,부사동 부사 119안전센터,중구,0.047,4735.0,2024-12-05,2026-03-31,False
ST1449,19,7,3.051094070663184,0,1,20.78,2.29,36.84,어은동 카이스트 아름관,유성구,0.003,2109.0,2025-10-18,2026-04-01,False
ST1353,255,81,29.777706830397456,0,1,20.09,2.72,31.76,문지동 카이스트 문지캠퍼스,유성구,0.045,4446.0,2024-12-04,2026-03-31,True
ST1346,195,65,27.796672830753305,51,3,19.08,2.34,33.33,어은동 카이스트 미르나래관,유성구,-0.003,9433.0,2024-11-20,2026-03-31,False
ST0925,816,223,68.32944859831746,0,2,18.95,3.26,27.33,용산동 대전테크노파크용산동 에스피에스,유성구,-0.117,7832.0,2024-08-01,2026-03-31,True
ST0080,82,27,12.135285312786806,0,1,18.13,2.22,32.93,오정동 한남대학교 정문,대덕구,-0.063,8929.0,2024-08-01,2026-04-01,False
ST1403,256,94,48.24311029622148,30,3,17.87,1.95,36.72,만년동 대전시립미술관,서구,0.295,6021.0,2024-12-02,2026-03-31,True
ST1355,1260,431,208.65263899755496,213,10,17.65,2.07,34.21,전민동 엑스포아파트 307동,유성구,-0.951,13956.0,2024-12-10,2026-03-31,True
ST1354,448,150,72.09898331631922,0,1,17.39,2.08,33.48,구성동 카이스트 김병호IT,유성구,0.229,6231.0,2024-12-03,2026-03-31,True
ST1343,4688,1330,568.344360155808,1000,15,16.25,2.34,28.37,용문동 둔산더샵엘리프 2단지(204동),서구,-0.411,24349.0,2024-11-25,2026-04-01,True
ST1026,6866,1623,507.90653475738844,846,15,16.24,3.2,23.64,만년동 한밭수목원(서원),서구,0.484,40740.0,2024-08-01,2026-03-31,True
ST1342,457,143,69.4827375903439,0,2,16.09,2.06,31.29,구성동 카이스트 교육지원동,유성구,0.009,6710.0,2024-11-22,2026-03-31,True
ST1440,24,7,3.2579974889255974,0,1,15.59,2.15,29.17,장대동 궁동2교 (죽동 방향),유성구,0.002,2979.0,2025-09-12,2026-03-31,False
ST1520,234,55,18.89899198849126,11,5,15.43,2.91,23.5,도안동 갑천생태호수공원 주차장C,서구,0.063,2778.0,2025-10-27,2026-03-31,True
ST1027,8012,1609,394.40586059880104,813,17,15.16,4.08,20.08,만년동 한밭수목원(동원),서구,1.033,63136.0,2024-08-01,2026-03-31,True
ST1341,4831,1115,391.4181916674489,839,13,14.98,2.85,23.08,구성동 카이스트 정보전자동 (1410),유성구,-0.591,31835.0,2024-11-30,2026-03-31,True
ST0927,163,51,27.041251752414844,0,1,14.7,1.89,31.29,관평동 한밭대학교 대덕산학융합캠퍼스,유성구,0.009,3595.0,2024-08-01,2026-03-31,False
ST1351,514,154,79.15088682114778,0,2,14.56,1.95,29.96,도룡동 기초과학연구원,유성구,-0.115,6990.0,2024-11-30,2026-03-31,True
ST0189,162,50,26.536694190195277,0,1,14.48,1.88,30.86,구성동 카이스트 후문(한국원자력안전기술원),유성구,0.112,5745.0,2024-08-01,2026-03-31,False
ST0366,162,52,29.033313886875614,0,1,14.18,1.79,32.1,궁동 충남대학교 약학대학,유성구,-0.007,5650.0,2024-08-01,2026-03-31,False
ST1344,640,186,97.6213215628459,0,2,13.81,1.91,29.06,용문동 둔산더샵엘리프 1단지,서구,0.017,10862.0,2024-12-02,2026-03-31,True
ST0796,327,88,43.809342055982654,0,1,13.51,2.01,26.91,가수원동 가수원연립주택 정류장,서구,-0.023,8313.0,2024-08-01,2026-03-31,True
ST0190,652,141,57.381339524909194,0,2,12.82,2.46,21.63,가정동 화폐박물관,유성구,-0.072,7990.0,2024-08-01,2026-03-31,True
ST0413,4006,964,454.5695615160947,292,11,12.72,2.12,24.06,도룡동 대전컨벤션센터,유성구,1.463,21334.0,2024-08-01,2026-03-31,True
ST1194,652,135,52.48578240603803,0,2,12.66,2.57,20.71,관평동 대덕비즈센터 남문 맞은편,유성구,-0.012,10744.0,2024-08-01,2026-03-31,True
ST1297,571,142,69.76400070249042,14,4,12.65,2.04,24.87,중동 목척교 유래비,동구,-0.122,7876.0,2025-03-04,2026-04-01,True
ST1367,782,199,102.59571071645271,21,3,12.33,1.94,25.45,태평동 시영아파트 4동,중구,-0.063,12449.0,2024-11-25,2026-04-01,True
ST0682,81,23,13.021445287599716,0,1,12.32,1.77,28.4,선화동 농협중앙회 대전본부,중구,-0.012,12144.0,2024-08-01,2026-04-01,False
ST1349,63,18,10.310895744651233,0,1,12.2,1.75,28.57,원신흥동 갑천1블럭 트리플시티 힐스테이트,유성구,-0.058,8056.0,2024-12-09,2026-03-31,False
ST1276,81,22,12.608181671400674,0,1,11.59,1.74,27.16,상대동 아이파크시티 1단지 102동 앞,유성구,-0.079,10414.0,2024-08-01,2026-04-01,False
ST0885,652,157,82.24224140684,0,2,11.47,1.91,24.08,문지동 GS칼텍스 기술연구소,유성구,-0.049,4495.0,2024-08-01,2026-03-31,True
ST1352,1866,458,248.7177838644446,133,8,11.22,1.84,24.54,도룡동 성심당 DCC점,유성구,0.0,13672.0,2024-12-01,2026-03-31,True
ST1067,5477,1221,614.5190441507873,573,12,11.07,1.99,22.29,중앙로역 3번출구,중구,-0.058,24650.0,2024-08-01,2026-03-31,True
ST0879,163,46,28.054268261142862,0,1,11.01,1.64,28.22,도마동 호반써밋(1104동),서구,-0.056,14665.0,2024-08-01,2026-04-01,False
ST0188,1225,243,110.96451566739321,18,3,10.78,2.19,19.84,어은동 한국생명공학연구원 입구,유성구,0.182,11785.0,2024-08-01,2026-03-31,True
ST1138,2781,737,440.90403681165566,171,6,10.65,1.67,26.5,도안동 갑천3블럭 트리풀시티(302동),서구,-0.009,16813.0,2024-08-01,2026-03-31,True
ST1028,1802,410,220.1897616873043,67,6,10.53,1.86,22.75,만년동 둔산대공원 입구(버스정류장),서구,0.107,15488.0,2024-08-01,2026-03-31,True
